"code_system","code","display"
"https://ibsi.readthedocs.io/en/latest/","G5MN","isovalue algorithm"
"https://ibsi.readthedocs.io/en/latest/","CRAM","marching cube algorithm"
"https://ibsi.readthedocs.io/en/latest/","FFWD","Morphological features specific parameters"
"https://ibsi.readthedocs.io/en/latest/","VXRR","dependence coarseness parameter"
"https://ibsi.readthedocs.io/en/latest/","NV3D","cubic convolution interpolation"
"https://ibsi.readthedocs.io/en/latest/","2I2N","cubic spline interpolation"
"https://ibsi.readthedocs.io/en/latest/","X13G","linear interpolation"
"https://ibsi.readthedocs.io/en/latest/","EY9L","nearest neighbour interpolation"
"https://ibsi.readthedocs.io/en/latest/","QP79","re-segmentation parameters"
"https://ibsi.readthedocs.io/en/latest/","LQBA","spatial filter properties"
"https://ibsi.readthedocs.io/en/latest/","WZSA","wavelet basis function"
"https://ibsi.readthedocs.io/en/latest/","QVI9","biorthogonal 3.5 wavelet"
"https://ibsi.readthedocs.io/en/latest/","2CYL","coiflet 1 wavelet"
"https://ibsi.readthedocs.io/en/latest/","FR3E","haar wavelet"
"https://ibsi.readthedocs.io/en/latest/","P8W0","frequency"
"https://ibsi.readthedocs.io/en/latest/","IA9Q","wavelet filter direction"
"https://ibsi.readthedocs.io/en/latest/","LCNJ","HHH wavelet direction"
"https://ibsi.readthedocs.io/en/latest/","S7CG","HHL wavelet direction"
"https://ibsi.readthedocs.io/en/latest/","UFRT","HLH wavelet direction"
"https://ibsi.readthedocs.io/en/latest/","RZ96","HLL wavelet direction"
"https://ibsi.readthedocs.io/en/latest/","CJ43","LHH wavelet direction"
"https://ibsi.readthedocs.io/en/latest/","76ZU","LHL wavelet direction"
"https://ibsi.readthedocs.io/en/latest/","NTRN","LLL wavelet direction"
"https://ibsi.readthedocs.io/en/latest/","6FPA","LLH wavelet direction"
"https://ibsi.readthedocs.io/en/latest/","G6RO","image grey level rounding"
"https://ibsi.readthedocs.io/en/latest/","IZBZ","edge enhancement"
"https://ibsi.readthedocs.io/en/latest/","ZS1T","HistoEqualization"
"https://ibsi.readthedocs.io/en/latest/","Q2ZB","LocalAreaHistoEqualization"
"https://ibsi.readthedocs.io/en/latest/","OB71","ImageSpace"
"https://ibsi.readthedocs.io/en/latest/","K7BL","ImageVolume"
"https://ibsi.readthedocs.io/en/latest/","OH8W","ROIMask"
"https://ibsi.readthedocs.io/en/latest/","GF95","IntensityHistogramStandardDeviation"
"https://ibsi.readthedocs.io/en/latest/","URTB","IntensityHistogramTotalEnergy"
"https://ibsi.readthedocs.io/en/latest/","5ABU","Maximum2DDiameterColumn"
"https://ibsi.readthedocs.io/en/latest/","4S59","Maximum2DDiameterSlice"
"https://ibsi.readthedocs.io/en/latest/","K57E","Maximum2DDiameterRow"
"https://ibsi.readthedocs.io/en/latest/","EGTD","Textural"
"https://ibsi.readthedocs.io/en/latest/","5XL6","GLCM_MaximalCorrelationCoefficient"
"https://ibsi.readthedocs.io/en/latest/","9U4X","ZeroOrder"
"https://ibsi.readthedocs.io/en/latest/","PWN1","I10"
"https://ibsi.readthedocs.io/en/latest/","BOHI","I90"
"https://ibsi.readthedocs.io/en/latest/","JXJA","I10minusI90"
"https://ibsi.readthedocs.io/en/latest/","NK6P","V10"
"https://ibsi.readthedocs.io/en/latest/","4279","V90"
"https://ibsi.readthedocs.io/en/latest/","WITY","V10minusV90"
"https://ibsi.readthedocs.io/en/latest/","J04R","NGLDMSpecificParameters"
"https://ibsi.readthedocs.io/en/latest/","ASHO","Voxel"
"https://ibsi.readthedocs.io/en/latest/","NOVP","ImageFilterSpace"
"https://ibsi.readthedocs.io/en/latest/","XSJL","AbsoluteFiltering"
